Raphael Bennett;;;;;Masculino
Danillo Albuquerque;;;;;Masculino
Gustavo Garzin;;;;;Masculino
Kaio Guimaroes;;;;;Masculino
Kaique Martiz;;;;;Masculino
Alexandre Bittencurtk;;;;;Masculino
Willian Bermanelly;;;;;Masculino
Eduardo Carvalhais;;;;;Masculino
Felipe Cullen;;;;;Masculino
Lucas Salvatore;;;;;Masculino
Pietro Suevo;;;;;Masculino
Thiago Alcantra;;;;;Masculino
Kauê Longboton;;;;;Masculino
Daniel Abraão;;;;;Masculino
Kevin Castro;;;;;Masculino
Raul Piazon;;;;;Masculino
Heytor Russo;;;;;Masculino
Hugo Mello;;;;;Masculino
Yure Ribeiro;;;;;Masculino
Raphael Silva;;;;;Masculino
Danillo Beltrão;;;;;Masculino
Gustavo Barborin;;;;;Masculino
Kaio Rodrigues;;;;;Masculino
Kaique Santos;;;;;Masculino
Alexandre Trindade;;;;;Masculino
Willian Machado;;;;;Masculino
Eduardo Venturine;;;;;Masculino
Felipe Tassinari;;;;;Masculino
Lucas Souza;;;;;Masculino
Pietro Nascimento;;;;;Masculino
Thiago Silveira;;;;;Masculino
Kauê Bugmaer;;;;;Masculino
Daniel Garcia;;;;;Masculino
Kevin Moraes;;;;;Masculino
Raul Pimenta;;;;;Masculino
Heytor Rosa;;;;;Masculino
Hugo Santana;;;;;Masculino
Yure Carvalho;;;;;Masculino
Raphael Alvez;;;;;Masculino
Danillo Moreira ;;;;;Masculino
Gustavo Charllotte;;;;;Masculino
Kaio Sampaio;;;;;Masculino
Kaique Ribeiro;;;;;Masculino
Alexandre Bennett;;;;;Masculino
Willian Albuquerque;;;;;Masculino
Eduardo Garzin;;;;;Masculino
Felipe Guimaroes;;;;;Masculino
Lucas Martiz;;;;;Masculino
Pietro Bittencurtk;;;;;Masculino
Thiago Bermanelly;;;;;Masculino
Kauê Carvalhais;;;;;Masculino
Daniel Cullen;;;;;Masculino
Kevin Salvatore;;;;;Masculino
Raul Suevo;;;;;Masculino
Heytor Alcantra;;;;;Masculino
Hugo Longboton;;;;;Masculino
Yure Abraão;;;;;Masculino
Kauê Castro;;;;;Masculino
Daniel Piazon;;;;;Masculino
Kevin Russo;;;;;Masculino
Raul Mello;;;;;Masculino
Heytor Ribeiro;;;;;Masculino
Hugo Silva;;;;;Masculino
Yure Beltrão;;;;;Masculino
Daniel Barborin;;;;;Masculino
Karollina Rodrigues;;;;;Feminino
Kinberlly Santos;;;;;Feminino
Aghata Trindade;;;;;Feminino
Claryssa Machado;;;;;Feminino
Nicolly Venturine;;;;;Feminino
Sophye Tassinari;;;;;Feminino
Sophia Souza;;;;;Feminino
Manuella Nascimento;;;;;Feminino
Manuelly Silveira;;;;;Feminino
Marina Bugmaer;;;;;Feminino
Mariana Garcia;;;;;Feminino
Jessica Moraes;;;;;Feminino
Lays Pimenta;;;;;Feminino
Phelipa Rosa;;;;;Feminino
Pietra Santana;;;;;Feminino
Raphaella Carvalho;;;;;Feminino
Vanessa Alvez;;;;;Feminino
Julia Moreira ;;;;;Feminino
Mayara Charllotte;;;;;Feminino
Raquel Sampaio;;;;;Feminino
Thalita Ribeiro;;;;;Feminino
Nina Bennett;;;;;Feminino
Lara Albuquerque;;;;;Feminino
Laura Garzin;;;;;Feminino
Luana Guimaroes;;;;;Feminino
Larissa Martiz;;;;;Feminino
Flavia Bittencurtk;;;;;Feminino
Fabiana Bermanelly;;;;;Feminino
